caption,scheduledFor,mediaUrl,mediaType,accountUsername,customLabels,language
"Morning motivation! Start your day with positive energy 💪 #motivation #success #morningvibes",2:00 PM,https://drive.google.com/file/d/YOUR_FILE_ID_1/view,reel,account1,"motivation, morning-content",en
"Quick 60-second recipe: Easy breakfast ideas 🍳 #cooking #recipe #foodie",2:15 PM,https://drive.google.com/file/d/YOUR_FILE_ID_2/view,reel,account2,"cooking, tutorial, food",en
"Behind the scenes of our latest photoshoot 📸 #bts #photography #creative",2:30 PM,https://drive.google.com/file/d/YOUR_FILE_ID_3/view,video,account1,"bts, behind-scenes",en
"Weekend sale announcement! 50% OFF everything 🛍️ #sale #weekend #shopping",10/15/2025 10:00 AM,https://your-image-url.com/sale.jpg,photo,account3,"sale, promo, weekend",en
"Customer success story - hear from our happy clients! ⭐ #testimonial #reviews",10/15/2025 3:00 PM,https://drive.google.com/file/d/YOUR_FILE_ID_4/view,reel,account2,"testimonial, customer-story",en
"हमारे नए उत्पाद की जाँच करें! 🇮🇳 #hindi #product #india",10/15/2025 6:00 PM,https://drive.google.com/file/d/YOUR_FILE_ID_5/view,reel,account1,"hindi-content, product, india",hi
"Tips for productivity in 2025 📈 #productivity #tips #business",10/16/2025 9:00 AM,https://drive.google.com/file/d/YOUR_FILE_ID_6/view,reel,account2,"tips, productivity, business",en
"Trending dance challenge! Join us 🕺 #dance #trending #challenge",10/16/2025 12:00 PM,https://drive.google.com/file/d/YOUR_FILE_ID_7/view,reel,account3,"trending, dance, challenge",en
"Educational content: Learn Instagram marketing 📱 #education #marketing",10/16/2025 3:00 PM,https://drive.google.com/file/d/YOUR_FILE_ID_8/view,video,account1,"education, marketing, tutorial",en
"End of day reflection 🌅 #reflection #mindfulness #peace",10/16/2025 8:00 PM,https://drive.google.com/file/d/YOUR_FILE_ID_9/view,photo,account2,"lifestyle, mindfulness",en

